"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
601	AT2G36460	nd	OTH-CYT
602	AT3G52930	STR	OTH-CYT
603	AT1G07110	nd	OTH-CYT
604	AT1G13440	STR	OTH-CYT
605	AT1G04410	STR	OTH-CYT
606	AT5G11670	nd	OTH-CYT
607	AT3G46970	nd	OTH-CYT
608	AT2G42600	nd	OTH-CYT
609	AT1G50480	nd	OTH-CYT
610	AT3G55440	STR	OTH-CYT
611	AT1G65930	STR	OTH-CYT
612	AT3G12670	nd	OTH-CYT
613	AT3G44310	nd	OTH-CYT
614	AT2G42690	nd	OTH-CYT
615	AT3G15730	nd	OTH-CYT
616	AT5G51970	nd	OTH-CYT
617	AT4G24220	nd	OTH-CYT
618	AT2G38230	nd	OTH-CYT
619	AT1G19670	nd	OTH-CYT
620	AT5G44020	nd	OTH-CYT
621	AT2G20630	nd	OTH-CYT
622	AT1G07890	nd	OTH-CYT
623	AT4G02520	STR	OTH-CYT
624	AT2G30870	nd	OTH-CYT
625	AT2G21660	THY	OTH-CYT
626	AT1G76010	nd	OTH-CYT
627	AT2G23350	nd	OTH-CYT
628	AT5G47210	nd	OTH-CYT
629	AT5G41790	nd	OTH-CYT
630	AT4G09000	STR	OTH-CYT
631	AT5G38480	STR	OTH-CYT
632	AT5G16050	nd	OTH-CYT
633	AT5G10450	nd	OTH-CYT
634	AT2G42590	nd	OTH-CYT
635	AT1G22300	nd	OTH-CYT
636	AT5G01750	nd	OTH-CYT
637	AT1G18080	nd	OTH-CYT
638	AT1G31340	nd	OTH-CYT
639	AT1G54040	STR	OTH-CYT
640	AT5G04430	nd	OTH-CYT
641	AT1G20450	STR	OTH-CYT
642	AT2G44060	nd	OTH-CYT
643	AT1G08830	nd	OTH-CYT
644	AT1G19570	nd	OTH-CYT
645	AT3G12490	nd	OTH-CYT
646	AT1G54100	nd	OTH-CYT
647	AT2G31570	n/a	OTH-CYT
648	AT1G30580	nd	OTH-CYT
649	AT5G27470	nd	OTH-CYT
650	AT3G10950	nd	OTH-CYT
651	AT1G07920	THY	OTH-CYT
652	AT3G13920	nd	OTH-CYT
653	AT1G57720	nd	OTH-CYT
654	AT5G19510	nd	OTH-CYT
655	AT1G26630	THY	OTH-CYT
656	AT1G56070	THY	OTH-CYT
657	AT3G09200	nd	OTH-CYT
658	AT2G27710	ENV	OTH-CYT
659	AT5G57290	nd	OTH-CYT
660	AT3G09630	nd	OTH-CYT
661	AT3G25520	nd	OTH-CYT
662	AT1G74050	nd	OTH-CYT
663	AT2G47610	nd	OTH-CYT
664	AT2G01250	nd	OTH-CYT
665	AT2G44120	nd	OTH-CYT
666	AT2G18020	nd	OTH-CYT
667	AT1G33120	nd	OTH-CYT
668	AT1G08360	nd	OTH-CYT
669	AT2G37190	ENV	OTH-CYT
670	AT4G27090	nd	OTH-CYT
671	AT2G42740	ENV	OTH-CYT
672	AT1G27400	ENV	OTH-CYT
673	AT3G05590	nd	OTH-CYT
674	AT5G27770	n/a	OTH-CYT
675	AT1G04480	nd	OTH-CYT
676	AT3G49910	nd	OTH-CYT
677	AT4G15000	n/a	OTH-CYT
678	AT1G72370	nd	OTH-CYT
679	AT2G17360	nd	OTH-CYT
680	AT2G37270	nd	OTH-CYT
681	AT5G10360	nd	OTH-CYT
682	AT5G20290	nd	OTH-CYT
683	AT5G15200	nd	OTH-CYT
684	AT4G25740	nd	OTH-CYT
685	AT5G23740	nd	OTH-CYT
686	AT3G60770	nd	OTH-CYT
687	AT2G36160	ENV	OTH-CYT
688	AT3G11510	ENV	OTH-CYT
689	AT1G04270	ENV	OTH-CYT
690	AT1G07770	nd	OTH-CYT
